quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
1.136,1.232,89.817,0.093789995,0.92341006,0.28179002,0.22933,0.06727,0.19319001,TARACHAND,2024-07-07
1.136,1.232,89.817,0.093789995,0.92341006,0.28179002,0.22933,0.06727,0.19319001,TARACHAND,2024-07-13
1.136,1.232,89.817,0.093789995,0.92341006,0.28179002,0.22933,0.06727,0.19319001,TARACHAND,2024-07-20
1.136,1.232,89.817,0.093789995,0.92341006,0.28179002,0.22933,0.06727,0.19319001,TARACHAND,2024-07-27
1.136,1.232,89.817,0.093789995,0.92341006,0.28179002,0.22933,0.06727,0.19319001,TARACHAND,2024-08-03
,,89.817,0.094399996,0.91085,0.29288998,0.13861,,,TARACHAND,2024-08-10
,,89.817,0.094399996,0.91085,0.29288998,0.13861,,,TARACHAND,2024-08-17
,,89.817,0.094399996,0.91085,0.29288998,0.13861,,,TARACHAND,2024-08-24
,,89.817,0.094399996,0.91085,0.29288998,0.13861,,,TARACHAND,2024-09-01
,,89.817,0.094399996,0.91085,0.29288998,0.13861,,,TARACHAND,2024-09-08
,,89.817,0.094399996,0.91085,0.29288998,0.13861,,,TARACHAND,2024-09-15
,,89.817,0.094399996,0.91085,0.29288998,0.13861,,,TARACHAND,2024-09-21
,,89.817,0.094399996,0.91085,0.29288998,0.13861,,,TARACHAND,2024-09-28
,,89.817,0.094399996,0.84536004,0.33245,0.13861,,,TARACHAND,2024-10-05
,,89.817,0.094399996,0.84536004,0.33245,0.13861,,,TARACHAND,2024-10-12
,,89.817,0.094399996,0.84536004,0.33245,0.13861,,,TARACHAND,2024-10-19
