indicator,enable,full_name,type,overlay,parameters,output_values,description,tinting,added_date,deleted_date
acos,False,Arccosine,Math Transform,False,"{'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}}","{'acos': {'default_color': '#000000', 'display': 'line'}}",,,2023-09-25,
ad,True,Chaikin A/D Line,Volume Indicators,False,{},"{'ad': {'default_color': '#87A878', 'display': 'line'}}",Chaikin A/D Line(AD) calculates the Advance/Decline of an asset. This indicator belongs to the group of Volume Indicators.,,2023-09-25,
add,True,Arithmetic Addition,Math Operators,False,"{'series_type_1': {'default': 'open', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}, 'series_type_2': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}}","{'add': {'default_color': '#000000', 'display': 'line'}}",Composite of values of two specified time series.,,2023-09-25,
adosc,True,Chaikin A/D Oscillator,Volume Indicators,False,"{'fast_period': {'default': 12, 'min_range': 1, 'type': 'int'}, 'slow_period': {'default': 26, 'min_range': 1, 'type': 'int'}}","{'adosc': {'default_color': '#B80C09', 'display': 'line'}}","Chaikin A/D Oscillator(ADOSC) is an indicator, which finds the relationship between increasing and decreasing volume with price fluctuations. The Chaikin Oscillator measures the momentum of the Accumulation/Distribution Line(ADL) using two Exponential Moving Averages of varying length to the line(MACD).",,2023-09-25,
adx,True,Average Directional Index,Momentum Indicators,False,"{'time_period': {'default': 14, 'min_range': 1, 'type': 'int'}}","{'adx': {'default_color': '#B80C09', 'display': 'line', 'max_range': 100, 'min_range': 0}}",Average Directional Index(ADX) is used to decide if the price trend is strong.,,2023-09-25,
adxr,True,Average Directional Movement Index Rating,Momentum Indicators,False,"{'time_period': {'default': 14, 'min_range': 1, 'type': 'int'}}","{'adxr': {'default_color': '#B80C09', 'display': 'line', 'max_range': 100, 'min_range': 0}}",Average Directional Movement Index Rating(ADXR) is a smoothed version of the ADX indicator. ADXR quantifies momentum change in the ADX.,,2023-09-25,
apo,True,Absolute Price Oscillator,Momentum Indicators,False,"{'fast_period': {'default': 12, 'min_range': 1, 'type': 'int'}, 'ma_type': {'default': 'SMA', 'range': ['SMA', 'EMA', 'WMA', 'DEMA', 'TEMA', 'TRIMA', 'KAMA', 'MAMA', 'T3MA'], 'type': 'string'}, 'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}, 'slow_period': {'default': 26, 'min_range': 1, 'type': 'int'}}","{'apo': {'default_color': '#000000', 'display': 'line'}}",Absolute Price Oscillator(APO) calculates the difference between two price moving averages.,,2023-09-25,
aroon,True,Aroon Indicator,Momentum Indicators,False,"{'time_period': {'default': 14, 'min_range': 1, 'type': 'int'}}","{'aroon_down': {'default_color': '#4787FF', 'display': 'line', 'max_range': 100, 'min_range': 0}, 'aroon_up': {'default_color': '#F2710E', 'display': 'line', 'max_range': 100, 'min_range': 0}}",Aroon Indicator(AROON) is used to identify if the price is trending. It can also spot the beginning of a new trend and its strength.,,2023-09-25,
aroonosc,True,Aroon Oscillator,Momentum Indicators,False,"{'time_period': {'default': 14, 'min_range': 1, 'type': 'int'}}","{'aroonosc': {'default_color': '#000000', 'display': 'line', 'max_range': 100, 'min_range': -100}}",Aroon Oscillator(AROONOSC) uses classic Aroon(Aroon Up and Aroon down) to measure the strength of persisting trends and whether they will continue.,,2023-09-25,
asin,False,Arcsine,Math Transform,False,"{'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}}","{'asin': {'default_color': '#000000', 'display': 'line'}}",,,2023-09-25,
atan,False,Arctan,Math Transform,False,"{'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}}","{'atan': {'default_color': '#000000', 'display': 'line'}}",,,2023-09-25,
atr,True,Average True Range,Volatility Indicators,False,"{'time_period': {'default': 14, 'min_range': 1, 'type': 'int'}}","{'atr': {'default_color': '#B80C09', 'display': 'line'}}",Average True Range(ATR) is used to measure market volatility by decomposing all asset prices over a specified time period.,,2023-09-25,
avg,True,Average,Price Transform,True,"{'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close', 'volume'], 'type': 'string'}, 'time_period': {'default': 9, 'min_range': 1, 'type': 'int'}}","{'avg': {'default_color': '#000000', 'display': 'line'}}",Average(AVG) calculates the average value of series in a given time period. Widely used to calculate the 9-day average volume.,,2023-09-25,
avgprice,True,Average Price,Price Transform,True,{},"{'avgprice': {'default_color': '#000000', 'display': 'line'}}",Average Price(AVGPRICE) uses the formula: (open + high + low + close) / 4.,,2023-09-25,
bbands,True,Bollinger Bands®,Overlap Studies,True,"{'ma_type': {'default': 'SMA', 'range': ['SMA', 'EMA', 'WMA', 'DEMA', 'TEMA', 'TRIMA', 'KAMA', 'MAMA', 'T3MA'], 'type': 'string'}, 'sd': {'default': 2, 'max_range': 50, 'min_range': 0.001, 'type': 'float'}, 'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}, 'time_period': {'default': 20, 'min_range': 1, 'type': 'int'}}","{'lower_band': {'default_color': '#9F87AF', 'display': 'line'}, 'middle_band': {'default_color': '#B80C09', 'display': 'line'}, 'upper_band': {'default_color': '#9F87AF', 'display': 'line'}}",Bollinger Bands®(BBANDS) are volatility bands located above and below a moving average. The volatility size parameter depends on standard deviation.,"{'area': {'color': '#9F87AF', 'display': 'fill', 'lower_bound': 'lower_band', 'transparency': 0.5, 'upper_bound': 'upper_band'}}",2023-09-25,
beta,True,Beta,Statistic Functions,False,"{'series_type_1': {'default': 'open', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}, 'series_type_2': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}, 'time_period': {'default': 9, 'min_range': 1, 'type': 'int'}}","{'beta': {'default_color': '#000000', 'display': 'line'}}",Statistic Beta function.,,2023-09-25,
bop,True,Balance of Power,Momentum Indicators,False,{},"{'bop': {'default_color': '#B80C09', 'display': 'line', 'max_range': 1, 'min_range': -1}}",Balance of Power(BOP) measures the relative strength between buyers and sellers by assessing the ability of move price to an extreme level.,,2023-09-25,
cci,True,Commodity Channel Index,Momentum Indicators,False,"{'time_period': {'default': 20, 'min_range': 1, 'type': 'int'}}","{'cci': {'default_color': '#87A878', 'display': 'line'}}",Commodity Channel Index(CCI) is a universal indicator that can help to identify new trends and assess current critical conditions.,"{'area': {'color': '#87A878', 'display': 'fill', 'lower_bound': -100, 'transparency': 0.5, 'upper_bound': 100}}",2023-09-25,
ceil,True,Vector CEIL,Math Transform,True,"{'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}}","{'ceil': {'default_color': '#000000', 'display': 'line'}}",Vector CEIL(CEIL) transforms input data with the mathematical ceil function.,,2023-09-25,
cmo,True,Chande Momentum Oscillator,Momentum Indicators,False,"{'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}, 'time_period': {'default': 9, 'min_range': 1, 'type': 'int'}}","{'cmo': {'default_color': '#45A89B', 'display': 'line', 'max_range': 100, 'min_range': -100}}",Chande Momentum Oscillator(CMO) is used to show overbought and oversold conditions.,,2023-09-25,
coppock,True,Coppock Curve,Momentum Indicators,False,"{'long_roc_period': {'default': 14, 'min_range': 1, 'type': 'int'}, 'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}, 'short_roc_period': {'default': 11, 'min_range': 1, 'type': 'int'}, 'wma_period': {'default': 10, 'min_range': 1, 'type': 'int'}}","{'coppock': {'default_color': '#2708A0', 'display': 'line'}}","Coppock Curve(COPPOCK) is usually used to detect long-term trend changes, typically on monthly charts.",,2023-09-25,
correl,True,Pearson's Correlation Coefficient,Statistic Functions,False,"{'series_type_1': {'default': 'open', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}, 'series_type_2': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}, 'time_period': {'default': 9, 'min_range': 1, 'type': 'int'}}","{'correl': {'default_color': '#000000', 'display': 'line', 'max_range': 1, 'min_range': -1}}","Measures linear correlation between two time series. Takes values in the range from -1 to 1, where -1 is total negative correlation, 0 is no correlation, and 1 is total positive correlation. ",,2023-09-25,
cos,False,Cosine,Math Transform,False,"{'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}}","{'cos': {'default_color': '#000000', 'display': 'line'}}",,,2023-09-25,
