Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2002-07-01,3.846029060711333,4.161847815164839,3.821941154999564,3.942380428314209,1281934,0.0,0.0,0.0
2002-07-02,3.8540579141563134,4.721220906554859,3.800529381646067,4.536547660827637,3719922,0.0,0.0,0.0
2002-07-03,4.656986110462771,4.656986110462771,4.201993255686731,4.3063740730285645,620280,0.0,0.0,0.0
2002-07-04,4.335815461426314,4.517812216252954,4.255522279999396,4.389343738555908,432494,0.0,0.0,0.0
2002-07-05,4.416108159457936,4.646281232943533,4.153818221595215,4.549929618835449,1030222,0.0,0.0,0.0
2002-07-08,4.598105926842105,4.940688573459549,4.469637434360563,4.8711018562316895,1248288,0.0,0.0,0.0
2002-07-09,4.871101328046665,5.004922787493129,4.549929621179807,4.574017524719238,545684,0.0,0.0,0.0
2002-07-10,4.614163857958387,4.681074587645408,4.442872553315886,4.472312927246094,187060,0.0,0.0,0.0
2002-07-11,4.472313111439896,4.549929806107922,4.180582532394565,4.274257659912109,138616,0.0,0.0,0.0
2002-07-12,4.373285501582966,4.464284138300428,4.180582521195646,4.2073469161987305,126428,0.0,0.0,0.0
2002-07-15,4.1886109926979485,4.247492498086758,3.862086861096693,4.07620096206665,279696,0.0,0.0,0.0
2002-07-16,4.105642037982456,4.218052073969147,3.907586357527488,3.931674003601074,198512,0.0,0.0,0.0
2002-07-17,3.8808228927746153,3.987879973925884,3.7202370158034967,3.8139121532440186,103772,0.0,0.0,0.0
2002-07-18,3.827294158545756,4.309051509838963,3.805882743398876,4.239464282989502,758846,0.0,0.0,0.0
2002-07-19,4.255522244987704,4.375961760893007,4.159170887507636,4.234110832214356,284662,0.0,0.0,0.0
2002-07-22,3.912939773476016,4.0815548572234,3.827294113887832,3.886175632476807,85210,0.0,0.0,0.0
2002-07-23,3.920969013291348,4.041408541850194,3.829970627066287,3.942380428314209,78474,0.0,0.0,0.0
2002-07-24,3.894204593780621,4.014643858486375,3.749677425084878,3.771088838577272,54538,0.0,0.0,0.0
2002-07-25,3.891528314530037,3.998585387803467,3.479358199561036,3.5382397174835205,182136,0.0,0.0,0.0
2002-07-26,3.468652239081239,3.554297891449311,3.372300880167157,3.449917316436768,76614,0.0,0.0,0.0
2002-07-29,3.6345907264961888,3.6345907264961888,2.9199841306521352,3.0297176837921143,75622,0.0,0.0,0.0
2002-07-30,3.211714640686793,3.211714640686793,2.810250310600944,2.914631128311157,34194,0.0,0.0,0.0
2002-07-31,2.687135001656038,3.147480911810584,2.588107148381919,2.8477208614349365,183744,0.0,0.0,0.0
2002-08-01,2.850397077127384,2.997600738370942,2.6255772323260165,2.6603705883026123,70568,0.0,0.0,0.0
2002-08-02,2.7781334254967014,2.9868948230068098,2.622900558727112,2.8718082904815674,163696,0.0,0.0,0.0
2002-08-05,2.8851901389545307,3.318771568518655,2.8851901389545307,3.2438316345214844,121530,0.0,0.0,0.0
2002-08-06,3.2063620163028834,3.420476400494964,3.160862955334585,3.2920079231262207,100756,0.0,0.0,0.0
2002-08-07,3.3776538290889166,3.468652468367306,3.2705967565521026,3.297360897064209,64314,0.0,0.0,0.0
2002-08-08,3.3669483433394345,3.3669483433394345,3.029718159796539,3.053806066513061,38140,0.0,0.0,0.0
2002-08-09,3.209038970849071,3.209038970849071,3.010983245305373,3.1635396480560303,23538,0.0,0.0,0.0
2002-08-12,3.104657939647705,3.3134193434628725,3.104657939647705,3.273272752761841,35916,0.0,0.0,0.0
2002-08-13,3.318772779768853,3.353566397062891,3.158187148308946,3.1822750568389893,9944,0.0,0.0,0.0
2002-08-14,3.18495080497848,3.1876272955707634,3.10465812916351,3.115363836288452,11698,0.0,0.0,0.0
2002-08-15,3.115363836288452,3.115363836288452,3.115363836288452,3.115363836288452,0,0.0,0.0,0.0
2002-08-16,3.190304025619711,3.190304025619711,3.067188256820003,3.083246946334839,5996,0.0,0.0,0.0
2002-08-19,3.238479352453137,3.238479352453137,3.0297176963403687,3.072540521621704,3156,0.0,0.0,0.0
2002-08-20,3.080570282048373,3.5596511315443986,3.0511293954699434,3.5141518115997314,170124,0.0,0.0,0.0
2002-08-21,3.5917683008756587,3.907587054009706,3.5328867821866905,3.808558940887451,489324,0.0,0.0,0.0
2002-08-22,3.961116079603197,3.961116079603197,3.647973778547944,3.690796613693237,186832,0.0,0.0,0.0
2002-08-23,3.6934721640170864,3.800529224614152,3.516827886409845,3.760382890701294,169384,0.0,0.0,0.0
2002-08-26,3.800529691491211,3.800529691491211,3.556974657280181,3.575709581375122,11642,0.0,0.0,0.0
2002-08-27,3.693472084660357,3.693472084660357,3.428505673942477,3.484710693359375,18724,0.0,0.0,0.0
2002-08-28,3.682766385815389,3.682766385815389,3.447240601871412,3.4793577194213867,9168,0.0,0.0,0.0
2002-08-29,3.540915942926168,3.540915942926168,3.433858869953752,3.4472410678863525,3616,0.0,0.0,0.0
2002-08-30,3.431182641450856,3.8540584948646894,3.431182641450856,3.8139121532440186,202956,0.0,0.0,0.0
2002-09-02,3.875469159988639,3.910262768430491,3.680089960943044,3.738971471786499,78344,0.0,0.0,0.0
2002-09-03,3.639944069637711,3.67473742706548,3.573033334940284,3.5837390422821045,8910,0.0,0.0,0.0
2002-09-04,3.532886518359121,3.642620075509239,3.516828085980372,3.599797248840332,7750,0.0,0.0,0.0
2002-09-05,3.639943836730213,3.7844710042190894,3.589091538677282,3.602473735809326,19458,0.0,0.0,0.0
2002-09-06,3.490064152129828,3.575709816766761,3.4793584440502108,3.51950478553772,11616,0.0,0.0,0.0
2002-09-09,3.634590859951185,3.827293835238916,3.506122379922151,3.650649547576904,622476,0.0,0.0,0.0
2002-09-10,3.650649547576904,3.650649547576904,3.650649547576904,3.650649547576904,0,0.0,0.0,0.0
2002-09-11,3.6667077363000087,3.698824854173034,3.5730328729813903,3.5864148139953613,5352,0.0,0.0,0.0
2002-09-12,3.677413453188832,3.6881191591783296,3.589091314964431,3.645296335220337,3420,0.0,0.0,0.0
2002-09-13,3.589091524515886,3.618532409139055,3.514151578213981,3.548945188522339,15304,0.0,0.0,0.0
2002-09-16,3.639944320488675,3.639944320488675,3.490064152129828,3.51950478553772,7422,0.0,0.0,0.0
2002-09-17,3.7470006516537575,3.7470006516537575,3.5596506701199027,3.5917677879333496,4562,0.0,0.0,0.0
2002-09-18,3.8640803185970816,4.546584978360787,3.8640803185970816,4.494880199432373,14418,1.5,0.0,0.0
2002-09-19,3.798587627877609,4.550032112579123,3.688283593956904,4.519009113311768,32410,0.0,0.0,0.0
2002-09-20,4.381130117968255,4.515563024736238,4.3018490718032325,4.4776458740234375,2866,0.0,0.0,0.0
2002-09-23,4.101922622911904,4.481092084643339,4.101922622911904,4.226014614105225,48462,0.0,0.0,0.0
2002-09-24,4.067453934564202,4.40525926757344,3.964044024695502,4.088135719299316,71606,0.0,0.0,0.0
2002-09-25,4.25014383558852,4.25014383558852,4.077794125049712,4.139840126037598,3628,0.0,0.0,0.0
2002-09-26,4.136393104886666,4.136393104886666,4.032983211518301,4.129498958587647,2500,0.0,0.0,0.0
2002-09-27,4.170863178919784,4.170863178919784,4.088135066986498,4.129498958587647,43884,0.0,0.0,0.0
2002-09-30,4.19499237904792,4.239803347489679,4.015748505280886,4.05021858215332,11216,0.0,0.0,0.0
2002-10-01,3.9674901030456624,4.067452914136526,3.9674901030456624,4.02953577041626,3370,0.0,0.0,0.0
2002-10-02,4.02953577041626,4.02953577041626,4.02953577041626,4.02953577041626,0,0.0,0.0,0.0
2002-10-03,4.370788506767706,4.370788506767706,3.905444184256028,3.915785074234009,8774,0.0,0.0,0.0
2002-10-04,3.9640431834675,3.9640431834675,3.8399515151977535,3.839951515197754,3950,0.0,0.0,0.0
2002-10-07,3.8089284109075736,3.998513145417455,3.8089284109075736,3.9226791858673096,10286,0.0,0.0,0.0
2002-10-08,3.8778688552531793,4.064006547156091,3.7951410652365554,4.05021858215332,7894,0.0,0.0,0.0
2002-10-09,4.053665126046676,4.064006016265144,3.964043200870688,3.988172054290772,11996,0.0,0.0,0.0
