symbol,exchange,latest_date,closing_price,last_action,last_action_date,current_principle,current_quantity,current_buy_price_avg,total_PL,unrealized_PL,user_name
ADANIGREEN,NSE,2024-05-10 00:00:00,1714.75,Buy,2024-05-05 00:00:00,40913.2,18,2272.96,0,-10047.7,Anant
ANGELONE,NSE,2024-05-10 00:00:00,2470.15,Buy,2024-05-05 00:00:00,44479.5,26,1710.75,0,19744.4,Anant
ARIHANTSUP,NSE,2024-05-10 00:00:00,339.25,Buy,2024-05-05 00:00:00,39101.06,175,223.43,0,20267.7,Anant
AWHCL,NSE,2024-05-10 00:00:00,470.25,Buy,2024-05-05 00:00:00,49608.0,100,496.08,0,-2583.0,Anant
AWL,NSE,2024-05-10 00:00:00,332.35,Buy,2024-05-05 00:00:00,34108.8,44,775.2,0,-19485.4,Anant
AXITA,NSE,2024-05-10 00:00:00,22.2,Buy,2024-05-05 00:00:00,17904.6,392,45.67,0,-9202.2,Anant
CHAMBLFERT,NSE,2024-05-10 00:00:00,393.35,Buy,2024-05-05 00:00:00,72571.44,172,421.93,0,-4915.24,Anant
CRAFTSMAN,NSE,2024-05-10 00:00:00,4300.85,Buy,2024-05-05 00:00:00,52649.75,11,4786.34,0,-5340.4,Anant
DHARMAJ,NSE,2024-05-10 00:00:00,225.25,Buy,2024-05-05 00:00:00,43430.96,164,264.82,0,-6489.96,Anant
DIAMINESQ,NSE,2024-05-10 00:00:00,537.75,Buy,2024-05-05 00:00:00,43727.35,82,533.26,0,368.15,Anant
DMART,NSE,2024-05-10 00:00:00,4796.8,Buy,2024-05-06 00:00:00,81326.1,18,4518.12,0,9273.59,Anant
DREAMFOLKS,NSE,2024-05-10 00:00:00,512.8,Buy,2024-05-05 00:00:00,45299.85,84,539.28,0,-2224.65,Anant
DSSL,NSE,2024-05-10 00:00:00,1200.85,Buy,2024-05-05 00:00:00,40044.85,85,471.12,0,62027.4,Anant
ECLERX,NSE,2024-05-10 00:00:00,2295.6,Buy,2024-05-05 00:00:00,45758.4,25,1830.34,0,11631.6,Anant
EMIL,NSE,2024-05-10 00:00:00,216.1,Buy,2024-05-05 00:00:00,28893.71,304,95.05,0,36800.69,Anant
FIVESTAR,NSE,2024-05-10 00:00:00,728.85,Buy,2024-05-06 00:00:00,43216.25,73,592.0,0,20025.8,Anant
GTPL,NSE,2024-05-10 00:00:00,175.85,Buy,2024-05-05 00:00:00,54936.6,226,243.08,0,-15194.5,Anant
HGINFRA,NSE,2024-05-10 00:00:00,1181.1,Buy,2024-05-05 00:00:00,44181.55,47,940.03,0,11330.15,Anant
HIGHENE,N/A,1900-01-01,0.0,N/A,1900-01-01,0.0,0.0,0.0,0.0,0.0,Anant
INDIGOPNTS,NSE,2024-05-10 00:00:00,1354.55,Buy,2024-05-05 00:00:00,44636.65,28,1594.17,0,-6709.25,Anant
INTELLECT,NSE,2024-05-10 00:00:00,874.95,Sell,2024-05-10 00:00:00,0.0,0,0.0,11550.65,-0.0,Anant
JYOTIRES,N/A,1900-01-01,0.0,N/A,1900-01-01,0.0,0.0,0.0,0.0,0.0,Anant
KPEL,N/A,1900-01-01,0.0,N/A,1900-01-01,0.0,0.0,0.0,0.0,0.0,Anant
KSOLVES,NSE,2024-05-10 00:00:00,1099.25,Buy,2024-05-06 00:00:00,75337.0,60,1255.62,0,-33026.65,Anant
LEMONTREE,NSE,2024-05-10 00:00:00,142.4,Buy,2024-05-05 00:00:00,40369.82,427,94.54,0,20434.98,Anant
MAHABANK,NSE,2024-05-10 00:00:00,63.9,Buy,2024-05-05 00:00:00,49200.95,1070,45.98,0,19172.05,Anant
NUVAMA,NSE,2024-05-10 00:00:00,5032.7,Buy,2024-05-05 00:00:00,50961.25,12,4246.77,0,9431.15,Anant
PDSL,NSE,2024-05-10 00:00:00,439.4,Buy,2024-05-05 00:00:00,42075.0,99,425.0,0,1425.6,Anant
PRICOLLTD,NSE,2024-05-10 00:00:00,425.9,Buy,2024-05-05 00:00:00,34404.3,156,220.54,0,32036.1,Anant
RADHIKAJWE,NSE,2024-05-10 00:00:00,63.1,Buy,2024-05-05 00:00:00,37421.22,797,46.95,0,12869.48,Anant
RAINBOW,NSE,2024-05-10 00:00:00,1403.4,Buy,2024-05-05 00:00:00,65082.1,59,1103.09,0,17718.5,Anant
SANDUMA,NSE,2024-05-10 00:00:00,487.4,Buy,2024-05-05 00:00:00,59449.0,130,457.3,0,3913.0,Anant
SHREDIGCEM,NSE,2024-05-10 00:00:00,104.6,Buy,2024-05-06 00:00:00,42167.85,375,112.45,0,-5870.9,Anant
SRHHYPOLTD,NSE,2024-05-10 00:00:00,529.65,Buy,2024-05-05 00:00:00,40581.3,58,699.68,0,-9861.6,Anant
UJJIVAN,NSE,2024-05-02 00:00:00,589.5,Buy,2024-05-05 00:00:00,24638.65,87,283.2,0,-0.0,Anant
EMSLIMITED,NSE,2024-05-10 00:00:00,423.35,Buy,2024-05-10 00:00:00,42672.5,101,422.5,0,-0.0,Anant
